"E1" "E2" "E3" "I1" "I2" "F" "I3" "H" "I4" "J" "I5" "L" "I6" "N" "O" "P" "I7" "I8" "II1" "T" "II2" "II3" "II4" "II5" "II6" "II7" "AA" "II8" "II9" "AD" "II10" "II11" "II12" "II13" "II14" "II15" "II16" "II17" "AM" "II18" "II19" "AP" "II20" "II21" "II22" "AT" "AU" "II23" "II24" "III1" "III2" "AZ" "III3" "BB" "BC" "BD" "III4" "BF" "III5" "IV1" "IV2" "IV3" "BK" "IV4" "BM" "IV5" "IV6" "IV7" "IV8" "IV9" "IV10" "BT" "IV11" "BV" "BW" "IV12" "IV13" "tipoPregunta" "tiempoPreguntaDinero" "pesosPorLitro" "cuotaFija" "tiempoNoHuachicol"
"1" "Camila Farres Rodriguez" "19/01/19" 1 3 19.79 20.99 16 30 0 0 1 1 1 1 "641VMZ" 1 1 1 30 2 3 4 5 1 2 0 0 2 -1 -1 -1 -1 -1 2 0 0 0 3 0 1 10 0 1 2 2 -1 -1 10 7 2 -1 -1 1 1 1 1 -1 -1 6 9 8 2 0 0 0 2 0 2 0 1 0 30 NA NA NA 1 1 1 3 2 50 15
"2" "Camila Farres Rodriguez" "19/01/19" 2 3 19.79 20.99 16 52 0 0 1 1 4 1 "6XK73" 1 1 1 51 2 2 4 5 2 -1 -1 -1 1 1 0 2 5 1 1 0 0 0 40 0 1 50 0 1 1 2 -1 -1 8 7 1 0 30 1 1 1 1 3 0 10 10 10 1 0 0 15 2 0 2 0 2 0 30 0 1 0 1 1 0 3 2 50 15
"3" "Camila Farres Rodriguez" "19/01/19" 3 3 19.79 20.99 17 0 0 0 1 1 2 1 "NCR4275" 1 1 3 43 2 3 3 4 1 2 0 5 1 0 25 2 1 2 1 7 0 3 1 0 1 4 0 2 2 2 -1 -1 1 5 1 1 0 1 1 1 1 1 0 8 1 3 2 0 0 10 2 0 2 0 1 0 15 6 0 0 2 2 2 3 2 50 15
"4" "Camila Farres Rodriguez" "19/01/19" 4 3 19.79 20.99 17 10 0 0 1 1 2 1 "NES7586" 1 1 0 71 4 4 4 1 2 -1 -1 -1 1 0 45 2 1 2 1 1 0 3 NA NA 3 5 0 1 2 2 -1 -1 1 6 1 1 0 2 2 2 2 -1 -1 10 1 6 0 45 0 0 2 0 2 0 NA NA NA 0 0 0 2 1 1 3 4 100 30
"5" "Camila Farres Rodriguez" "19/01/19" 5 3 19.79 20.99 17 36 0 0 1 1 1 1 "K81ALV" 1 1 3 69 3 3 4 4 2 -1 -1 -1 1 2 0 2 1 2 2 0 0 0 40 0 1 41 0 1 1 2 -1 -1 9 7 1 1 0 2 2 2 2 -1 -1 -1 10 7 0 30 0 10 2 0 2 0 1 1 0 0 1 0 1 2 0 3 4 100 30
"6" "Camila Farres Rodriguez" "19/01/19" 6 3 19.79 20.99 17 45 0 0 1 1 2 1 "MWY9716" 1 1 0 50 4 2 4 5 2 -1 -1 -1 1 2 0 2 1 2 1 3 0 2 50 0 1 15 0 1 2 2 -1 -1 10 7 1 2 0 2 2 2 2 -1 -1 -1 10 10 3 0 0 15 1 5 1 200 1 1 0 0 1 0 1 1 2 3 4 100 30
"7" "Camila Farres Rodriguez" "19/01/19" 7 3 19.79 20.99 17 50 0 0 1 1 1 1 "U26AHL" 1 1 0 47 3 3 4 4 1 1 0 0 1 0 10 1 1 2 1 1 0 0 12 0 1 35 0 2 1 2 -1 -1 7 7 1 2 0 1 1 1 1 2 0 10 5 9 1 30 1 0 2 0 2 0 1 1 0 0 0 0 2 1 1 3 6 150 45
"8" "Camila Farres Rodriguez" "19/01/19" 8 3 19.79 20.99 18 10 0 0 1 1 1 1 "630SNV" 1 1 2 51 3 3 4 5 1 2 0 0 2 -1 -1 -1 -1 -1 1 4 0 4 51 0 1 29 0 1 2 2 -1 -1 1 3 1 2 0 1 1 1 1 2 0 10 1 5 2 0 0 0 2 0 2 0 2 0 30 3 0 0 2 1 0 3 6 150 45
"9" "Camila Farres Rodriguez" "19/01/19" 9 3 19.79 20.99 18 30 0 0 1 1 1 1 "N14ATB" 1 2 0 44 2 3 3 5 1 1 0 0 2 -1 -1 -1 -1 -1 1 6 0 4 0 2 1 5 0 1 2 2 -1 -1 1 7 1 3 0 1 1 1 2 4 0 10 1 3 2 0 0 0 1 6 2 50 2 0 10 0 0 0 2 2 2 3 6 150 45
"10" "Camila Farres Rodriguez" "20/01/19" 10 3 19.79 20.99 10 31 0 0 1 1 1 1 "114SWS" 1 1 1 70 1 1 2 5 1 1 0 0 2 -1 -1 -1 -1 -1 1 7 0 7 40 0 3 NA NA 1 2 2 -1 -1 10 8 1 0 30 1 1 1 1 8 0 6 8 5 3 0 0 0 2 0 2 0 1 0 15 1 0 0 1 2 1 2 2 50 15
"11" "Camila Farres Rodriguez" "20/01/19" 11 3 19.79 20.99 10 55 0 0 1 1 1 1 "806TF@" 1 1 0 38 4 2 4 5 1 2 0 30 1 0 20 1 5 1 2 0 0 0 38 0 1 20 0 1 2 2 -1 -1 7 7 1 2 0 2 2 2 2 -1 -1 -1 9 9 2 0 0 0 2 0 2 0 1 0 20 0 0 7 1 1 0 2 2 50 15
"12" "Camila Farres Rodriguez" "20/01/19" 12 3 19.79 20.99 11 9 0 0 1 1 1 1 "P96AWB" 1 1 0 38 2 NA 4 1 2 -1 -1 -1 1 2 0 1 5 2 1 0 0 0 15 0 1 45 0 1 1 2 -1 -1 1 3 1 2 0 1 2 2 1 2 0 10 1 2 2 0 0 0 2 0 2 0 1 1 0 0 0 0 1 1 2 2 2 50 15
"13" "Camila Farres Rodriguez" "20/01/19" 13 3 19.79 20.99 11 15 0 0 1 1 5 2 "-2" 2 1 1 40 3 3 4 5 1 2 0 5 1 1 0 2 1 2 1 2 0 2 4 0 1 16 0 1 1 2 -1 -1 7 9 1 1 0 1 1 1 1 1 0 6 7 7 1 0 0 20 2 0 2 0 1 0 30 0 0 15 1 1 1 2 4 100 30
"14" "Camila Farres Rodriguez" "20/01/19" 14 3 19.79 20.99 11 30 0 0 1 1 1 1 "297WZH" 1 2 0 52 2 3 3 1 2 -1 -1 -1 1 0 10 1 4 2 1 2 0 0 4 0 1 25 0 1 1 2 -1 -1 1 6 1 0 5 2 2 2 2 -1 -1 -1 1 1 0 30 0 0 2 0 2 0 2 0 10 0 6 0 NA 2 0 2 4 100 30
"15" "Camila Farres Rodriguez" "20/01/19" 15 3 19.79 20.99 11 56 0 0 1 1 6 1 "UW3343W" 1 1 1 56 3 3 3 5 1 2 0 0 1 0 10 2 1 2 2 0 0 1 7 0 1 0 1 1 1 2 -1 -1 8 5 2 -1 -1 1 2 1 1 -1 -1 1 10 8 2 0 0 0 2 0 2 0 2 0 10 0 0 0 1 1 2 2 4 100 30
"16" "Camila Farres Rodriguez" "20/01/19" 16 3 19.79 20.99 12 19 0 0 1 1 1 1 "H27AUD" 1 1 1 68 2 NA 4 2 1 2 0 15 2 -1 -1 -1 -1 -1 1 5 0 5 45 0 1 15 0 1 2 2 -1 -1 1 7 1 10 0 2 2 2 2 -1 -1 -1 1 9 3 0 0 10 2 0 2 0 2 0 10 NA NA NA 2 1 1 2 6 150 45
"17" "Camila Farres Rodriguez" "20/01/19" 17 3 19.79 20.99 12 35 0 0 1 1 1 1 "322XHX" 1 1 1 55 3 3 4 5 1 1 0 0 1 0 40 2 1 2 1 1 0 7 15 0 1 36 0 1 1 2 -1 -1 1 9 1 1 0 1 2 1 1 4 0 5 1 7 1 30 0 0 2 0 2 0 1 1 0 0 0 0 1 1 0 2 6 150 45
"18" "Camila Farres Rodriguez" "20/01/19" 18 3 19.79 20.99 12 53 0 0 1 1 2 1 "MWL6507" 1 1 0 65 3 3 4 1 2 -1 -1 -1 1 1 0 1 5 2 2 0 0 0 36 0 1 0 2 1 2 2 -1 -1 10 7 1 1 0 2 2 2 2 -1 -1 -1 10 9 3 0 0 0 2 0 2 0 1 0 45 0 0 3 1 2 2 2 6 150 45
"19" "Camila Farres Rodriguez" "20/01/19" 19 3 19.79 20.99 13 1 0 0 1 1 1 1 "F39ATD" 1 1 0 37 2 2 4 5 2 -1 -1 -1 2 -1 -1 -1 -1 -1 2 0 0 0 37 0 1 3 0 1 2 2 -1 -1 10 8 1 1 0 1 2 1 2 1 30 7 10 8 3 0 0 30 2 0 2 0 1 0 30 0 1 0 1 2 1 4 2 50 15
"20" "Camila Farres Rodriguez" "20/01/19" 20 3 19.79 20.99 13 5 0 0 1 1 1 1 "NAT4457" 1 2 0 50 3 3 3 2 1 2 0 0 1 0 10 1 4 2 2 0 0 0 3 0 1 2 0 1 2 2 -1 -1 5 10 1 1 0 1 2 2 1 1 0 10 8 5 1 0 0 10 2 0 2 0 1 1 0 0 0 0 1 1 0 4 2 50 15
"21" "Camila Farres Rodriguez" "21/01/19" 21 3 19.79 20.99 13 3 0 0 1 1 1 1 "M51ALZ" 1 1 0 31 3 3 4 5 1 2 0 15 1 2 0 2 5 1 1 2 7 3 18 0 1 2 6 2 1 1 2 -1 5 3 1 2 0 2 2 2 2 -1 -1 -1 7 7 2 30 24 0 2 0 1 50 1 0 15 0 1 0 1 1 2 4 2 50 15
"22" "Camila Farres Rodriguez" "21/01/19" 22 3 19.79 20.99 13 20 0 0 1 1 1 1 "N19ADF" 1 1 0 48 4 3 4 5 2 -1 -1 -1 1 0 10 2 1 2 1 2 0 0 48 0 1 19 0 2 1 1 2 -1 1 10 2 -1 -1 2 2 2 2 -1 -1 -1 1 1 NA NA 0 0 2 0 2 0 1 24 0 NA NA NA 2 2 1 4 4 100 30
